Project Name,Description,Partners,Funding Amount,Headquarters,Delivery Location,Venue/Site,Target Population,Project Start Date,Project End Date,Duration,Website,Date added to the Map
"The Apple Schools Foundation: 
 Transforming Healthy School Communities",The Alberta Project Promoting Active Living and Healthy Eating (APPLE) Schools program is a school health intervention which aims to improve health behaviours among children.,"Canadian Natural Resources 
 Limite ; Inter Pipeline; The Joyce Foundation; Pembina Pipeline; Howard Douglas Farnell Insurance; Allan P. Markin; Statoil; TransCanada PipeLine Ltd.; Chartered Accountant, Scott Price, Bouchier Group, Dairy Farmers of Canada ($500 cash), Dave Dorcas & Lynne McAlpine, Donna Halford, Rotary Club of Edmonton Gateway, University of Alberta; Northland School Division; Northern Light School Division","$3,561,045",Edmonton,"AB, MB, NWT, BC",Elementary School children,Children,Mar-2016,Mar-2021,5-year project,http://www.appleschools.ca/,
"Flat Bay Band Inc: 
 The Tajike’k Centres- Indigenous based Centres for Healthy Living & Prevention of Chronic Disease",The objective of the project is to scale up the Creating Wellness intervention to improve knowledge of healthy living and chronic disease risk-reduction behaviours and to enable participants to adopt healthier practices in a supportive environment.,"Tabletop Chiropractor, Memorial University","$1,024,734",Flat Bay,NFD,Clinical Setting,Adult band members,Feb-2016,Aug-2019,3-year project,http://flatbay.ca/,
Capsana:  Activez votre santé / Activate your health,"The goal of this project is to motivate and support individuals in the workplace, especially women aged 25 to 54 years, in order to improve their lifestyle choices in eating habits and physical activity.","Caisse de Dépôt et Placement , SPI Santé Sécurité, Fédération des Desjardins du Québec, Sprout Wellness Solutions, Sukha Technologies Inc. SOS, Groupe Entreprises en Santé , Caisse Repentigny, Caisses populaires italienne de Montreal, Caisse Pierre-Le Gardeur, Autorite des marches financiers 
 University of Montreal; and Capsana.","$872,756",Montreal,QC,Employees in work places,women 25-54 years,Aug-2016,March 31 2021,3.5-year project,https://www.capsana.ca,
"Heart and Stroke Foundation: 
 ACTIVATE (Community Hypertension Prevention Initiative)",The project will implement a community-based lifestyle modification program to increase awareness of high blood pressure and CVD risk among participants 60 years and over.,"Private investors - Bealight Foundation,Catherine Donnelly Foundation,Doboto Ltd., Frederick Hyndman, Dr. Guy Beaudin, Heart and Stroke Foundaition of Ontario, Ian and Andre Cockwell, Illumina Social Impact Partners Inc., J.W. McConnell Family Foundation, Max Bell Foundation, Mindset Foundation, QBE, RBC, Telus. 
  MARS Center for Impact Investing, Social Research Demonstration Corporation, Shoppers DrugMart, Loblaws, Catherine Donnelly Foundation, Centennial College, Armada","$4,000,000",Ottawa,"ON, BC",Digital/Clinical,Adults 40 years and over,Apr-2016,Mar-2021,3.5 year project,https://www.heartandstroke.ca/activate/,
"Canadian Men's Health Foundation:
  Don’t Change Much – A Novel Assessment and Intervention Program for Men’s Health Promotion and Chronic Disease Preventio","This project will promote awareness, provide education, facilitate engagement, and inspire action (e.g., nudging) that lead to healthy lifestyle behaviours in men.","Google, Urology Foundation, University of British Columbia","$4,507,711",Vancouver,"National scope (on-line campaign)
 Adult men",Digital,Adult Men,Jan-2016,Mar-2020,5-year project,https://menshealthfoundation.ca,
Simon Fraser University (Radius) - Agents of Change: Health Innovation,"The aim of this project is to advance multi-sectoral 
 collaboration on health innovation to promote healthy living and chronic disease prevention for Canadians, with a focus on systems change.","BDC, Manning Elliott LLP, Vancity Community Foundation, Vancity Centre, Junxion Startegy (Canada) Inc., Miller Titerle Law Corporation, Moutain Equipment Co-op, SFU Beedie School of Business, Discovery Foundation, Total Impact Advisors, RBC","$950,000",Burnaby,BC,Social Purpose,Adults,Dec-2018,Mar-2021,2.5 year project,https://www.sfu.ca/vpresearch/research-news/profiles-and-features/driving-innovation.html,
Childhood Obesity Foundation - Online Program for a Healthy and Green Life in Children and Youth,"The project will expand the LiGHT 
 program, a novel weight management program that aims to prevent obesity complications in 10-17 year olds.","Ayogo Health Incorporated; Merck Canada Incorporated; Pacific Blue Cross; the Heart and Stroke Foundation of Canada; David Suzuki Foundation; 
 Louise Masse, University of British Columbia, COF, National Film Board (use of content, staff time, production expenses), BC CHildrens Hospital (recruitment), Janeway Child Health Center at Memorial University (recruitment), Montreal Childrens Hopsital at McGill Unviersity (recruitment), CHEO (recruitment), McMaster Childrens Hospital (recruitment), Hospital for Sick Kids UoT (recruitment), Stollery Childrens Hospital Uof A (recruitment)","$3,136,705",Vancouver,"BC, AB, ON",Digital,Youth (10-17 years) and their families,Jan. 2017,Nov. 2020,4-year project,https://childhoodobesityfoundation.ca,
Boys and Girls Clubs of Canada - Kid Food Nation:,"The project aims to inspire, empower, educate and incentivize children/youth and their families to develop practical knowledge and experiences to plan, purchase and prepare healthy foods.","Corus Entertainment, Presidents Choice Kids Foundation
 Social Research Demonstration Group, Boys and Girls Clubs of Canada,
 Dietitians of Canada (program curriculum alignment with Food guide, and testing recipes)","$4,988,373",Toronto,"BC, AB, SK, MB, ON, QC, NB, NS, PEI, NFD","Schools, Communty Setting",Children/youth ages 7-12 and their families,Oct. 2016,Mar-2021,4.5-year project,https://www.bgccan.com,
"Social Planning and Research
  Council of British Columbia (SPARC BC) - Farm to School: Canada Digs In!",The project provides students (in primary to tertiary educational institutions) with healthy food and hands-on learning opportunities that foster food literacy and seeks to strengthen the local food system.,"Whole Kids Foundation, Sustain Ontario, Public Health Association of British Columbia, Heart and Stroke Foundation of Canada, Meal Exchange, Equiterre, Farm to Cafeteria Canada, SPARC BC and MN","$1,793,294",Burnaby,"ON, BC, QC, NB, NFD",Schools and university,students,Apr-2017,Sep-2020,3-year project,http://www.farmtocafeteriacanada.ca,
"Community Food Centres Canada 
 - Food Fit Promoting Healthy Eating and Fitness in Low-Income:","FoodFit is a unique program targeted to low-income community members that combines healthy food knowledge, cooking/food preparation skills and physical activity, with a focus on social supports and community connection.","Lawson Foundation; Brian and Joannah Lawson Family Foundation; HRJ Consulting; RBC Foundation, CFCC; Dr. Evans; Manulife; Medavie","$1,204,884",Toronto,"BC, AB, ON, QC, NB, NFLD, NS",Community Setting,Low income community members,Jun-2016,March 2021,5-year project,https://cfccanada.ca,
Community Matters Toronto - Healthy Living in St. James Town:,"The project aims to improve health self-efficacy of community residents by creating “circles of care “ activities grounded in local resources that support established cultural practices, local nutrition initiatives and culturally appropriate physical activities.","Self-Care Catalyst, St. James Town Family Literacy Services, Wellesley Parliament Square, George Westin Foundation , Tom Goldspink, George H. Wood Foundation, Manulife, MLSE,
  Ontario Ministry of Tourism Culture and Sport","$883,665",Toronto,ON,Community,Adults,Nov-2014,Dec-2019,5-year project,http://communitymatterstoronto.org/,
